ID,Artist,Album,Media type,Xfer option,Xfer type,Image #,Total CDs,Date received,Customer notes,Private notes,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,Track 9,Track 10,Track 11,Track 12,Track 13,Track 14,Track 15,Track 16,Track 17,Track 18,Track 19,Track 20,Track 21,Track 22,Track 23,Track 24,Track 25,Track 26,Track 27,Track 28
01883-00019,Kerry L. Johnson -- The Science of Self-Discipline,1. Self Discipline Made Easy / The Path to Automatic Self-Discipline,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00020,Kerry L. Johnson -- The Science of Self-Discipline,2. How to Build Self-Discipline / How to Build Self-Discipline (Cont'd),cass,std,mp3,01883-00019,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00021,Kerry L. Johnson -- The Science of Self-Discipline,3. Designing Your Life with Self-Discipline /  Self-Discipline and your Power to Create Change,cass,std,mp3,01883-00019,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00022,Kerry L. Johnson -- The Science of Self-Discipline,4. Turning Self-Discipline into Success / Unleashing Your Power to Achieve,cass,std,mp3,01883-00019,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00023,Kerry L. Johnson -- The Science of Self-Discipline,5. How to Live a Self-Disciplined Life / Self-Discipline and Total Control,cass,std,mp3,01883-00019,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00024,Kerry L. Johnson -- The Science of Self-Discipline,6. Self Discipline and Wealth Building / Self-Discipline and the New You,cass,std,mp3,01883-00019,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00025,Bert Decker -- Speak to Win: An Executive Program to Maximixe Personal Impact,1. The Medium Carries the Message / What Counts in Speaking,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00026,Bert Decker -- Speak to Win: An Executive Program to Maximixe Personal Impact,2. The Four Stages of Speaking / The Four Stages of Improving Your Speeches,cass,std,mp3,01883-00025,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00027,Bert Decker -- Speak to Win: An Executive Program to Maximixe Personal Impact,3. Audience Involvement / Communication Skills - The Eyes,cass,std,mp3,01883-00025,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00028,Bert Decker -- Speak to Win: An Executive Program to Maximixe Personal Impact,4. Communication Skills - Gestures and Posture / Communication Skills - Dress and Appearance,cass,std,mp3,01883-00025,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00029,Bert Decker -- Speak to Win: An Executive Program to Maximixe Personal Impact,5. Communication Skills - The Voice / Vocal Exercises,cass,std,mp3,01883-00025,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00030,Bert Decker -- Speak to Win: An Executive Program to Maximixe Personal Impact,"6. Humor, Language and Other Swirls / The Natural Self",cass,std,mp3,01883-00025,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
